Match,Team1,Team2
1,suicidesquad,Hattimatim Team
1,Dhurandhar,arkajyoti.bhattacharya@gmail.com
1,Chhoto ostad,Valar Morghulis
1,MaushumiBhowmick,donrahul
1,Deepan,soudeep
2,MaushumiBhowmick,arkajyoti.bhattacharya@gmail.com
2,soudeep,Valar Morghulis
2,Dhurandhar,Hattimatim Team
2,suicidesquad,Chhoto ostad
2,Deepan,donrahul
3,suicidesquad,Dhurandhar
3,Deepan,arkajyoti.bhattacharya@gmail.com
3,soudeep,MaushumiBhowmick
3,Chhoto ostad,donrahul
3,Hattimatim Team,Valar Morghulis
4,Dhurandhar,donrahul
4,Hattimatim Team,soudeep
4,arkajyoti.bhattacharya@gmail.com,Valar Morghulis
4,Deepan,Chhoto ostad
4,suicidesquad,MaushumiBhowmick
5,arkajyoti.bhattacharya@gmail.com,donrahul
5,Deepan,MaushumiBhowmick
5,Dhurandhar,Valar Morghulis
5,suicidesquad,soudeep
5,Chhoto ostad,Hattimatim Team
6,Dhurandhar,Chhoto ostad
6,Deepan,suicidesquad
6,Hattimatim Team,donrahul
6,MaushumiBhowmick,Valar Morghulis
6,soudeep,arkajyoti.bhattacharya@gmail.com
7,Hattimatim Team,arkajyoti.bhattacharya@gmail.com
7,Chhoto ostad,soudeep
7,Dhurandhar,MaushumiBhowmick
7,Deepan,Valar Morghulis
7,suicidesquad,donrahul
8,Dhurandhar,soudeep
8,donrahul,Valar Morghulis
8,suicidesquad,arkajyoti.bhattacharya@gmail.com
8,Chhoto ostad,MaushumiBhowmick
8,Deepan,Hattimatim Team
9,Hattimatim Team,MaushumiBhowmick
9,suicidesquad,Valar Morghulis
9,Chhoto ostad,arkajyoti.bhattacharya@gmail.com
9,soudeep,donrahul
9,Deepan,Dhurandhar
10,MaushumiBhowmick,soudeep
10,Hattimatim Team,Dhurandhar
10,Valar Morghulis,donrahul
10,Deepan,Chhoto ostad
10,suicidesquad,arkajyoti.bhattacharya@gmail.com
11,Deepan,Dhurandhar
11,arkajyoti.bhattacharya@gmail.com,donrahul
11,Hattimatim Team,soudeep
11,MaushumiBhowmick,Valar Morghulis
11,suicidesquad,Chhoto ostad
12,Cancelled,Cancelled
12,Cancelled,Cancelled
12,Cancelled,Cancelled
12,Cancelled,Cancelled
12,Cancelled,Cancelled
13,MaushumiBhowmick,Hattimatim Team
13,suicidesquad,Dhurandhar
13,arkajyoti.bhattacharya@gmail.com,Deepan
13,Valar Morghulis,Chhoto ostad
13,soudeep,donrahul
14,Hattimatim Team,Chhoto ostad
14,soudeep,arkajyoti.bhattacharya@gmail.com
14,Dhurandhar,donrahul
14,suicidesquad,Valar Morghulis
14,MaushumiBhowmick,Deepan
15,Dhurandhar,Chhoto ostad
15,suicidesquad,Deepan
15,Hattimatim Team,donrahul
15,MaushumiBhowmick,arkajyoti.bhattacharya@gmail.com
15,Valar Morghulis,soudeep
16,Hattimatim Team,Valar Morghulis
16,suicidesquad,MaushumiBhowmick
16,soudeep,Chhoto ostad
16,Deepan,donrahul
16,arkajyoti.bhattacharya@gmail.com,Dhurandhar
17,soudeep,Dhurandhar
17,Valar Morghulis,arkajyoti.bhattacharya@gmail.com
17,Hattimatim Team,Deepan
17,suicidesquad,donrahul
17,MaushumiBhowmick,Chhoto ostad
18,Hattimatim Team,arkajyoti.bhattacharya@gmail.com
18,Chhoto ostad,donrahul
18,MaushumiBhowmick,Dhurandhar
18,Valar Morghulis,Deepan
18,suicidesquad,soudeep
19,soudeep,Deepan
19,MaushumiBhowmick,donrahul
