Team 1,Team 2,Date,Start Time,URL
Royal Challengers Bengaluru,Sunrisers Hyderabad,Mar 28 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/149618/rcb-vs-srh-1st-match-indian-premier-league-2026
Mumbai Indians,Kolkata Knight Riders,Mar 29 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2026
Rajasthan Royals,Chennai Super Kings,Mar 30 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2027
Punjab Kings,Gujarat Titans,Mar 31 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2028
Lucknow Super Giants,Delhi Capitals,Apr 1 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2029
Kolkata Knight Riders,Sunrisers Hyderabad,Apr 2 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2030
Chennai Super Kings,Punjab Kings,Apr 3 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2031
Delhi Capitals,Mumbai Indians,Apr 4 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2032
Gujarat Titans,Rajasthan Royals,Apr 4 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2033
Sunrisers Hyderabad,Lucknow Super Giants,Apr 5 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2034
Royal Challengers Bengaluru,Chennai Super Kings,Apr 5 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2035
Kolkata Knight Riders,Punjab Kings,Apr 6 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2036
Rajasthan Royals,Mumbai Indians,Apr 7 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2037
Delhi Capitals,Gujarat Titans,Apr 8 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2038
Kolkata Knight Riders,Lucknow Super Giants,Apr 9 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2039
Rajasthan Royals,Royal Challengers Bengaluru,Apr 10 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2040
Punjab Kings,Sunrisers Hyderabad,Apr 11 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2041
Chennai Super Kings,Delhi Capitals,Apr 11 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2042
Lucknow Super Giants,Gujarat Titans,Apr 12 2026,10:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2043
Mumbai Indians,Royal Challengers Bengaluru,Apr 12 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2044
Sunrisers Hyderabad,Rajasthan Royals,Apr 13 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2045
Chennai Super Kings,Kolkata Knight Riders,Apr 14 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2046
Royal Challengers Bengaluru,Lucknow Super Giants,Apr 15 2026,14:00 GMT,https://www.cricbuzz.com/live-cricket-scorecard/148360/wiw-vs-ausw-1st-odi-australia-women-tour-of-west-indies-2047
