Player Name,Role,Team,Category
Ayush Mhatre,Batsman,Chennai Super Kings,Domestic
Dewald Brevis,Batsman,Chennai Super Kings,Overseas
Matthew Short,Batsman,Chennai Super Kings,Overseas
Ruturaj Gaikwad,Batsman,Chennai Super Kings,Domestic
Sarfaraz Khan,Batsman,Chennai Super Kings,Domestic
Kartik Sharma,WK-Batsman,Chennai Super Kings,Domestic
MS Dhoni,WK-Batsman,Chennai Super Kings,Domestic
Sanju Samson,WK-Batsman,Chennai Super Kings,Domestic
Urvil Patel,WK-Batsman,Chennai Super Kings,Domestic
Ramakrishna Ghosh,Batting Allrounder,Chennai Super Kings,Domestic
Shivam Dube,Batting Allrounder,Chennai Super Kings,Domestic
Aman Khan,Bowling Allrounder,Chennai Super Kings,Domestic
Anshul Kamboj,Bowling Allrounder,Chennai Super Kings,Domestic
Jamie Overton,Bowling Allrounder,Chennai Super Kings,Overseas
Prashant Veer,Bowling Allrounder,Chennai Super Kings,Domestic
Zakary Foulkes,Bowling Allrounder,Chennai Super Kings,Overseas
Akeal Hosein,Bowler,Chennai Super Kings,Overseas
Gurjapneet Singh,Bowler,Chennai Super Kings,Domestic
Khaleel Ahmed,Bowler,Chennai Super Kings,Domestic
Matt Henry,Bowler,Chennai Super Kings,Overseas
Mukesh Choudhary,Bowler,Chennai Super Kings,Domestic
Noor Ahmad,Bowler,Chennai Super Kings,Overseas
Rahul Chahar,Bowler,Chennai Super Kings,Domestic
Shreyas Gopal,Bowler,Chennai Super Kings,Domestic
Spencer Johnson,Bowler,Chennai Super Kings,Overseas
Akash Madhwal,Bowler,Chennai Super Kings,Domestic
David Miller,Batsman,Delhi Capitals,Overseas
Karun Nair,Batsman,Delhi Capitals,Domestic
Nitish Rana,Batsman,Delhi Capitals,Domestic
Pathum Nissanka,Batsman,Delhi Capitals,Overseas
Prithvi Shaw,Batsman,Delhi Capitals,Domestic
Sahil Parakh,Batsman,Delhi Capitals,Domestic
Sameer Rizvi,Batsman,Delhi Capitals,Domestic
Abishek Porel,WK-Batsman,Delhi Capitals,Domestic
KL Rahul,WK-Batsman,Delhi Capitals,Domestic
Tristan Stubbs,WK-Batsman,Delhi Capitals,Overseas
Ashutosh Sharma,Batting Allrounder,Delhi Capitals,Domestic
Ajay Jadav Mandal,Bowling Allrounder,Delhi Capitals,Domestic
